label,segment,_page,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,borough
Elderts Lane,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365638.0,348351.0,340205.0,386602.0,400262.0,383592.0,406422.0,,,,,,,,,,,,,,,Queens
Cypress Hills,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136845.0,131254.0,135329.0,141359.0,159875.0,169241.0,293016.0,,,,,,,,,,,,,,,Brooklyn
Crescent St.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556726.0,542774.0,525628.0,595374.0,574169.0,591282.0,,,,,,,,,,,,,,,,Brooklyn
Norwood Ave.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476074.0,471090.0,486576.0,532979.0,593439.0,585634.0,310523.0,,,,,,,,,,,,,,,Brooklyn
Cleveland St.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513854.0,492717.0,496778.0,544138.0,579971.0,552739.0,389775.0,,,,,,,,,,,,,,,Brooklyn
Van Siclen Ave.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523655.0,493808.0,467537.0,494672.0,514475.0,504035.0,509471.0,,,,,,,,,,,,,,,Brooklyn
Alabama Ave.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238953.0,205301.0,190906.0,174522.0,175937.0,157232.0,149402.0,,,,,,,,,,,,,,,Brooklyn
Chauncey St.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657545.0,548517.0,488291.0,468286.0,466087.0,443176.0,441525.0,,,,,,,,,,,,,,,Brooklyn
Halsey St.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069502.0,994090.0,886300.0,887199.0,866314.0,801465.0,835304.0,,,,,,,,,,,,,,,Brooklyn
Gates Ave.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278159.0,1102107.0,939776.0,933078.0,921710.0,848777.0,832448.0,,,,,,,,,,,,,,,Brooklyn
