label,_page,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,borough
Brook Avenue,4,8924480.0,4128340.0,4275340.0,4141369.0,3787037.0,4282341.0,2761827.0,2936182.0,3232481.0,3410971.0,Bronx
Cypress Avenue,4,1704150.0,1925060.0,3035060.0,2043562.0,2210308.0,3224945.0,2221467.0,2143071.0,2332481.0,805146.0,Bronx
143d Street,4,892605.0,442947.0,470558.0,571473.0,,2265741.0,2533727.0,2631518.0,2659821.0,2724297.0,Bronx
149th Street,4,1904130.0,1900800.0,1965800.0,2013800.0,2143044.0,2189603.0,2336240.0,2393145.0,2428731.0,2556381.0,Bronx
Longwood Avenue,4,1608700.0,1656830.0,1630230.0,1799883.0,2043130.0,3005492.0,3005666.0,3007644.0,3248889.0,3376558.0,Bronx
Hunts Point Road,4,2311000.0,2350500.0,2187582.0,2254918.0,,141115.0,239300.0,305410.0,283723.0,474390.0,Bronx
Whitlock Ave. (from 6/30/20),4,8175.0,73175.0,93005.0,92595.0,102730.0,560645.0,923839.0,1747943.0,2031258.0,2031258.0,Bronx
Elder Ave. (from 6/30/20),4,13020.0,134000.0,137900.0,151009.0,270596.0,400983.0,140120.0,336182.0,787988.0,1848560.0,Bronx
Sound View Ave. (from 6/30/20),4,4064.0,57146.0,68900.0,63889.0,44640.0,474631.0,635702.0,813483.0,1002440.0,1164214.0,Bronx
St. Lawrence Ave. (from 6/30/20),4,14600.0,194480.0,235940.0,312160.0,388284.0,329895.0,372801.0,571948.0,1152080.0,,Bronx
East 177th St. (from 6/30/20),4,35310.0,284290.0,187960.0,106066.0,252214.0,734553.0,929054.0,1087815.0,1324705.0,1588897.0,Bronx
Castle Hill Ave. (from 10/24/80),4,,,203300.0,205800.0,312602.0,370725.0,470546.0,615616.0,888300.0,,Bronx
Zerega Ave. (from 10/24/80),4,,,286100.0,662700.0,661058.0,220518.0,367056.0,353120.0,334122.0,1858983.0,Bronx
Westchester Sq. (from 10/24/80),4,,,61042.0,99880.0,131058.0,168556.0,220660.0,253120.0,317780.0,406888.0,Bronx
Middletown Rd. (from 12/13/80),4,,,75300.0,163100.0,208900.0,408247.0,693047.0,875149.0,1175941.0,1286564.0,Bronx
Buhre Ave. (from 12/13/80),4,,,277800.0,696600.0,770071.0,1582283.0,1102027.0,1129024.0,1175941.0,,Bronx
Pelham Bay Pk. (from 12/13/80),4,,,,23703.0,17630.0,13312.0,7515.0,7094.0,8381.0,12290.0,Bronx
Miscellaneous ticket sales,4,96519.0,42401.0,,,,,,,,13800.0,Brooklyn
